airport,degree,betweenness,pagerank,cluster
61VA,0.003019001953471852,0.00026318858361271347,0.00023675312733885292,1
KDAA,0.0025750310779612856,0.0001440548896246041,0.00013028161018902728,1
KGAI,0.012608772864500089,0.0009424869563016607,0.0004607386641163615,0
02AK,0.0012431184514295863,0.00037436773582707133,0.00010101020533429806,1
5AK9,0.0013319126265316996,5.1998542445533965e-05,8.10554288771823e-05,1
AK25,0.0004439708755105665,6.923916090491016e-05,3.698779727054575e-05,1
AK27,0.0002663825253063399,0.0,3.641374982402952e-05,1
PABV,0.002930207778369739,0.0001379108057204141,0.0001439612325468248,1
PAMR,0.011099271887764163,0.001800517622222199,0.0010989797875165864,0
PAWD,0.0007991475759190197,6.422448843384254e-07,8.003992321942654e-05,1
02AL,0.0025750310779612856,3.702456032857147e-05,6.552375963885569e-05,1
0TS2,0.00781388740898597,0.001246297552216256,0.000347422647307149,0
2AL1,0.0006215592257147931,2.9159431976121742e-06,2.9565851799884397e-05,1
38LS,0.0019534718522464926,3.217822688968363e-05,7.595622890919501e-05,1
8FD3,0.0016870893269401528,3.5285933337919e-05,6.713672838555036e-05,1
AL08,0.000887941751021133,4.903222780598198e-05,5.028681829967651e-05,1
CRAI,0.0006215592257147931,8.920856323047339e-06,2.589380475523507e-05,1
K66Y,0.0028414136032676256,0.00015846797801861352,0.00010518468712973611,1
KBTR,0.019001953471852247,0.004514274241798733,0.0007610555634401618,3
KMSY,0.02290889717634523,0.003755309542212563,0.0011370748310914193,3
KNBJ,0.003818149529390872,0.0003537877061114566,0.00011865046963342949,1
KNPA,0.004350914580003552,0.0004338630006352209,0.0003014868924021702,1
KNQB,0.0014207068016338128,7.852701729298699e-05,7.238282173663391e-05,1
KPNS,0.01909074764695436,0.0048255973628801505,0.0008491930780948829,3
KSAT,0.03702717101758125,0.012545385842172907,0.0019837479225327057,3
LS34,0.0011543242763274728,1.1287421839914365e-06,4.849041122985269e-05,1
LS91,0.0003551767004084532,3.839576660782256e-06,2.6957702139837198e-05,1
MS99,0.0014207068016338128,3.040192955890047e-06,8.435157847144444e-05,1
02AR,0.0011543242763274728,8.550441042876605e-06,6.399839266173714e-05,1
3AR6,0.0016870893269401528,0.00022025515469480556,8.182608593184383e-05,1
77AR,0.0011543242763274728,2.227768191938997e-05,0.00010583694250999685,1
02CD,0.0003551767004084532,7.043571652278449e-05,2.3388484344298633e-05,1
KM37,0.0001775883502042266,0.0,2.5036699489030075e-05,1
KRNV,0.0024862369028591726,0.0013605321284343862,0.0003048433436909164,1
MS33,0.0003551767004084532,8.289120050178408e-05,3.4115287348382794e-05,1
02CL,0.0006215592257147931,2.9887058390744695e-09,3.1318761617414806e-05,1
KCMA,0.01829160007103534,0.0012590988866884568,0.0007262523374108077,0
KHND,0.016515716568993075,0.0014743666403544435,0.0004484711376710376,0
KSNA,0.03445213993961996,0.006440708062822052,0.0020351801332396248,3
02FA,8.87941751021133e-05,0.0,1.8386629517644837e-05,1
FL47,0.004883679630616231,0.00038257826887337946,0.0003001928920422685,1
02GA,0.0010655301012253596,1.0957443316381637e-06,3.5628914464989137e-05,1
21FA,0.007636299058781744,0.00048361759926417516,0.0005397434336620743,0
KAND,0.004794885455514118,0.00018831912686831094,0.0001984739521220364,1
KCHA,0.020333866098383946,0.003655830457608753,0.0007279094772353811,0
KLZU,0.01988989522287338,0.003215356474596748,0.0006443938121838459,0
KSAV,0.022376132125732553,0.0030440282512526227,0.0005120165354348226,0
02GE,0.0007103534008169064,7.025207301568426e-07,3.226299292519924e-05,1
GA77,0.0016870893269401528,0.00019410589394351597,0.0001068384338704666,1
KFTY,0.017936423370626887,0.0027857545474097687,0.00048279551891295883,0
KPDK,0.049902326407387676,0.015704620728118627,0.0019050288758951314,2
KPUJ,0.0023086485526549456,0.0002763203287406682,0.00023616191936622711,1
KRYY,0.020067483573077607,0.0038053349209378824,0.0006090104040538916,0
02II,0.0007103534008169064,4.2496868831426455e-06,5.042150607542903e-05,1
6IN3,0.001509500976735926,9.576774868535087e-06,6.680458772150102e-05,1
K5I4,0.002042266027348606,2.8088360835452117e-05,0.00010622377336550438,1
K7L8,0.003019001953471852,0.000337530484297615,0.00010279486374390216,1
KEYE,0.014828627242052922,0.004616708172590143,0.0008222223150676536,0
KHFY,0.006837151482862724,0.0011264064106124494,0.00033752733308133775,0
02IN,0.0016870893269401528,9.570477050332685e-05,9.971673135866894e-05,1
